Wandb run started
Optimizers Created
Dataloader reset
Beginning Training
====================================================================================================
Model Parameters: 32.1M
{'d_model': 256, 'n_heads': 8, 'n_layers': 8, 'vocab_size': 50304, 'seq_len': 128, 'r': 4, 'p': 2, 'max_steps': 1000000, 'batch_size': 32, 'adam_lr': 0.0003, 'muon_lr': 3e-06}
====================================================================================================
out_proj.weight tensor(0.2796, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.4655, device='cuda:0')
out_proj.weight tensor(0.6431, device='cuda:0')
out_proj.weight tensor(0.8686, device='cuda:0')
out_proj.weight tensor(1.0350, device='cuda:0')
out_proj.weight tensor(1.0683, device='cuda:0')
out_proj.weight tensor(1.1256, device='cuda:0')
out_proj.weight tensor(1.1228, device='cuda:0')
step 0 | loss 10.8258 | norm 1.1765 | time 1311.7657ms
decoder_stack.0.attn.wq.weight tensor(0.3527, device='cuda:0')
out_proj.weight tensor(0.5043, device='cuda:0')
out_proj.weight tensor(0.7390, device='cuda:0')
out_proj.weight tensor(0.9820, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(64.1503, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.7797, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.8136, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.8476, device='cuda:0')
out_proj.weight tensor(0.3255, device='cuda:0')
out_proj.weight tensor(0.5629, device='cuda:0')
out_proj.weight tensor(0.7319, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.8410, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(2.0588, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.0101, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(59.5041, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.8909, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.9719, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.3192, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(1.0054, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.9671, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.2841, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.1437, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.8987, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.9985, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(0.5261, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.4353, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.8679, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(16.2841, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(6.0424, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.6423, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.2004, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.2323, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(3.6310, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.7520, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.2231, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.6307, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.5728, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(0.7352, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.7777, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.9520, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.3304, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(14.7524, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(94.0718, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.9455, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.7955, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.4525, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2442.3765, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.8850, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(1.9046, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.4546, device='cuda:0')
decoder_stack.1.attn.wq.weight tensor(1.9089, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.7322, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.5192, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.6263, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.0412, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.0101, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.5532, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.2854, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(96.1402, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.1838, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.9799, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.8685, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.8478, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.1427, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(28.5706, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(3.4118, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.6161, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.0645, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.7362, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(3.2218, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.1789, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(1.2959, device='cuda:0')
decoder_stack.1.attn.wq.weight tensor(3.0347, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(3.7018, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.6568, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(6.2701, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.5756, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.6441, device='cuda:0')
out_proj.weight tensor(0.6215, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.8671, device='cuda:0')
step 10 | loss 10.7720 | norm 2.1143 | time 1168.0841ms
decoder_stack.0.attn.wo.weight tensor(8.8172, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(17.4036, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.1462, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.5087, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.7104, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.0525, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(30.4706, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(15.6978, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.5310, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.6949, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.5104, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(9.9198, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(12.7265, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.0222, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.1620, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(98.7256, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(13.8119, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(37.9948, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.8827, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.7574, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.9122, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.6117, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(5.9495, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.8345, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.6963, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.8341, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(21.3596, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.9451, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(10.7619, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.9878, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(8.4360, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.5125, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(49.3841, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.8465, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.5488, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2632.1575, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.9614, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(3.8846, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(38.1240, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(9.7293, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(1.9752, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.6491, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(24.4785, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(1.1768, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.5848, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.8639, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.1158, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.7227, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.4151, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.7351, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(32.6985, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.9634, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(72.4283, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(27.8617, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(27.6929, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(6.5041, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.1906, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(15.7942, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.9902, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.8339, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.7936, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.5586, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(161.7337, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(5.8563, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.4239, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.6371, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.9779, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.0169, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(51.2910, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.4037, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.7557, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.8319, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(149.5496, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.5330, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.4303, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.7154, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.2420, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(34.4665, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(36.3011, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(44.6430, device='cuda:0')
step 20 | loss 10.7196 | norm 55.6198 | time 1037.0362ms
decoder_stack.0.attn.wq.weight tensor(3.6581, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.4216, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.0473, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(15.4943, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.6158, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.5141, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.3423, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.2189, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(5.3753, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.5517, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.1113, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(1.7181, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.3052, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.5566, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(17.6786, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.8642, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(30.2747, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(19.5325, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.2201, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(120.7919, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.4196, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(33.0438, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.8291, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.7737, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(38.7917, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.0222, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.1157, device='cuda:0')
decoder_stack.1.attn.wq.weight tensor(28.9057, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.2873, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.2152, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.2995, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.2765, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.6790, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(179.4387, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.9376, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.2657, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(30.7839, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(12.1249, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(12.2376, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.7138, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(21.3529, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(1.4779, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.4148, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(5.7773, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(21.5532, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(11.3621, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(15.7818, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(36.7094, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.8514, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.8700, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(11.0529, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.9430, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.8959, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.0172, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(13.2933, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.7186, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.4816, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.1850, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.2663, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(462.5990, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(36.7866, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(40.4424, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(39.7434, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.0255, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.2610, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(2.2518, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(15.3587, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.2039, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.8829, device='cuda:0')
decoder_stack.1.attn.wq.weight tensor(6.2173, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(114.5817, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(31.0771, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(2.6935, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.4085, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.0408, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.4117, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(404.3430, device='cuda:0')
decoder_stack.0.attn.wo.weight tensor(59.1671, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.0056, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(41.9412, device='cuda:0')
step 30 | loss 10.6599 | norm 76.4638 | time 1120.3444ms
decoder_stack.0.attn.wq.weight tensor(170.5157, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(14.6859, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(24.4069, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(132.6607, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(158.6129, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.8327, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(516.2234, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.0441, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.6878, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.1492, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(8.5570, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(26.2647, device='cuda:0')
decoder_stack.0.attn.wv.weight tensor(19.3701, device='cuda:0')
