Wandb run started
Optimizers Created
Dataloader reset
Beginning Training
====================================================================================================
Model Parameters: 32.1M
{'d_model': 256, 'n_heads': 8, 'n_layers': 8, 'vocab_size': 50304, 'seq_len': 128, 'r': 4, 'p': 2, 'max_steps': 10000, 'batch_size': 2, 'adam_lr': 0.0003, 'muon_lr': 0.0003}
====================================================================================================
step 0 | loss 10.8254 | norm 6.5791 | time 538.7824ms
step 10 | loss 10.6749 | norm 275.4440 | time 215.3783ms
step 20 | loss 10.6487 | norm 237112.0938 | time 216.0463ms
step 30 | loss 10.2929 | norm 61725.9805 | time 218.7746ms
step 40 | loss 10.0233 | norm 1116.3674 | time 255.1084ms
step 50 | loss 10.1121 | norm 95685.3906 | time 227.8092ms
step 60 | loss 9.7125 | norm 1014.0068 | time 230.7668ms
step 70 | loss 9.4486 | norm 318.8166 | time 228.7076ms
step 80 | loss 9.6280 | norm 71307.8203 | time 257.7887ms
step 90 | loss 8.7832 | norm 7053.4302 | time 267.9040ms
step 100 | loss 9.4111 | norm 374537696.0000 | time 288.6603ms
step 110 | loss 9.4522 | norm 3519139.2500 | time 220.4564ms
step 120 | loss 8.5789 | norm 9431.7871 | time 226.0089ms
step 130 | loss 8.7142 | norm 8607.0391 | time 219.4154ms
step 140 | loss 8.9326 | norm 1247.5480 | time 223.9890ms
step 150 | loss 8.2490 | norm 230.1081 | time 218.9627ms
step 160 | loss 8.4587 | norm 28134.6504 | time 216.2352ms
step 170 | loss 8.1877 | norm 13101.0068 | time 214.5476ms
step 180 | loss 8.3051 | norm 1657.5651 | time 223.4044ms
step 190 | loss 8.0374 | norm 473.7583 | time 247.4771ms
step 200 | loss 8.5128 | norm 2115.9922 | time 226.8977ms
step 210 | loss 7.8945 | norm 1220612.3750 | time 223.2120ms
step 220 | loss 8.4452 | norm 154304.1719 | time 217.2809ms
step 230 | loss 8.9749 | norm 87340.3516 | time 311.7790ms
step 240 | loss 7.9014 | norm 644.3539 | time 216.8789ms
step 250 | loss 7.8262 | norm 222.4638 | time 245.6377ms
step 260 | loss 8.9453 | norm 418982.7812 | time 231.7033ms
step 270 | loss 8.3098 | norm 5014.5400 | time 222.8832ms
step 280 | loss 7.2496 | norm 27.7975 | time 221.2267ms
step 290 | loss 8.4004 | norm 12.8362 | time 225.1747ms
step 300 | loss 7.4775 | norm 25.2276 | time 215.5526ms
step 310 | loss 7.7987 | norm 3523.8772 | time 264.6737ms
step 320 | loss 8.2046 | norm 486.7180 | time 223.1755ms
step 330 | loss 7.3541 | norm 7198.0591 | time 224.6823ms
step 340 | loss 8.6557 | norm 2035946.5000 | time 215.8589ms
step 350 | loss 8.5978 | norm 4309939.5000 | time 217.4056ms
step 360 | loss 7.9749 | norm 6794.3696 | time 236.5615ms
step 370 | loss 8.2967 | norm 37333.4453 | time 226.8245ms
step 380 | loss 7.4597 | norm 730.3547 | time 224.0665ms
step 390 | loss 7.7851 | norm 748.2440 | time 217.2663ms
step 400 | loss 7.9302 | norm 727.0337 | time 216.7039ms
step 410 | loss 7.4596 | norm 764.3719 | time 218.8578ms
step 420 | loss 7.5255 | norm 14.3931 | time 223.3002ms
step 430 | loss 8.0219 | norm 16.2246 | time 224.9455ms
step 440 | loss 7.2957 | norm 45.6388 | time 221.0994ms
step 450 | loss 7.3053 | norm 7209.7524 | time 285.7645ms
step 460 | loss 7.1025 | norm 19.1605 | time 256.7384ms
step 470 | loss 7.0941 | norm 782.0355 | time 231.6086ms
step 480 | loss 7.4310 | norm 14.1194 | time 217.2921ms
step 490 | loss 7.3207 | norm 3581.4019 | time 217.6988ms
step 500 | loss 7.5472 | norm 50.8037 | time 228.3418ms
step 510 | loss 9.6001 | norm 17.3848 | time 260.0012ms
step 520 | loss 8.3517 | norm 60.2619 | time 226.5909ms
step 530 | loss 7.9552 | norm 9678.8955 | time 224.7026ms
step 540 | loss 7.7341 | norm 23600.1875 | time 220.5820ms
step 550 | loss 7.3241 | norm 227.2279 | time 217.0055ms
step 560 | loss 8.3655 | norm 15.8716 | time 228.0302ms
step 570 | loss 7.6474 | norm 10.5516 | time 218.8063ms
step 580 | loss 7.4252 | norm 13.4050 | time 220.0367ms
step 590 | loss 8.2894 | norm 12.6106 | time 221.8969ms
step 600 | loss 8.5981 | norm 240668.1562 | time 217.9120ms
step 610 | loss 7.1425 | norm 10.6421 | time 239.1753ms
step 620 | loss 7.8716 | norm 347.0530 | time 222.5826ms
step 630 | loss 7.1210 | norm 10.6405 | time 230.1195ms
step 640 | loss 7.7730 | norm 11.6364 | time 274.3564ms
step 650 | loss 7.8352 | norm 33.0635 | time 218.7417ms
step 660 | loss 7.1731 | norm 464866.4062 | time 227.6807ms
step 670 | loss 7.3847 | norm 11.6024 | time 225.1954ms
step 680 | loss 7.0768 | norm 70.4858 | time 236.6698ms
step 690 | loss 7.2861 | norm 12.7273 | time 213.5417ms
step 700 | loss 7.3948 | norm 1905.6875 | time 226.8033ms
step 710 | loss 9.8538 | norm 49.8202 | time 223.2232ms
step 720 | loss 7.3205 | norm 312.8716 | time 294.2333ms
step 730 | loss 7.5948 | norm 1670.4551 | time 313.6790ms
step 740 | loss 7.3362 | norm 136.7320 | time 227.9131ms
step 750 | loss 6.7303 | norm 613.8864 | time 221.8351ms
step 760 | loss 7.9592 | norm 115505504.0000 | time 217.5696ms
step 770 | loss 7.0678 | norm 565.1541 | time 216.0060ms
