Wandb run started
Optimizers Created
Dataloader reset
Beginning Training
====================================================================================================
Model Parameters: 32.1M
{'d_model': 256, 'n_heads': 8, 'n_layers': 8, 'vocab_size': 50304, 'seq_len': 128, 'r': 4, 'p': 2, 'max_steps': 1000000, 'batch_size': 32, 'adam_lr': 0.0003, 'muon_lr': 3e-06}
====================================================================================================
out_proj.weight tensor(0.6374, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.9201, device='cuda:0')
out_proj.weight tensor(1.0108, device='cuda:0')
out_proj.weight tensor(1.2845, device='cuda:0')
out_proj.weight tensor(1.4049, device='cuda:0')
out_proj.weight tensor(1.4124, device='cuda:0')
out_proj.weight tensor(1.5360, device='cuda:0')
out_proj.weight tensor(1.4467, device='cuda:0')
step 0 | loss 10.8260 | norm 1.4715 | time 1604.2132ms
out_proj.weight tensor(0.5521, device='cuda:0')
out_proj.weight tensor(1.1104, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(30.7951, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.9142, device='cuda:0')
out_proj.weight tensor(1.0815, device='cuda:0')
out_proj.weight tensor(1.3426, device='cuda:0')
out_proj.weight tensor(1.1255, device='cuda:0')
out_proj.weight tensor(1.2127, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.9954, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(0.9480, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.1338, device='cuda:0')
out_proj.weight tensor(1.0678, device='cuda:0')
out_proj.weight tensor(1.0582, device='cuda:0')
out_proj.weight tensor(1.0443, device='cuda:0')
out_proj.weight tensor(1.0847, device='cuda:0')
out_proj.weight tensor(1.4790, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.4486, device='cuda:0')
out_proj.weight tensor(1.0506, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.2631, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(1.2105, device='cuda:0')
out_proj.weight tensor(0.9015, device='cuda:0')
out_proj.weight tensor(1.1113, device='cuda:0')
out_proj.weight tensor(1.3025, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.1183, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.2460, device='cuda:0')
out_proj.weight tensor(0.8369, device='cuda:0')
out_proj.weight tensor(1.1935, device='cuda:0')
out_proj.weight tensor(1.3062, device='cuda:0')
out_proj.weight tensor(1.1308, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(6.9589, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(4.3517, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.9192, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(0.9871, device='cuda:0')
out_proj.weight tensor(1.0113, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(10.6498, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.2125, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(5.1508, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.7637, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.1708, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.2154, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(1.7650, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.2079, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.9307, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(7.4883, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(8.7691, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(41.0303, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.0317, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.0212, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(40.6589, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.8994, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(1.9219, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.7635, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.0975, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(10.5246, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.1694, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(9.2794, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(18.5781, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(16.0485, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.9939, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.3909, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.4021, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.3292, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(59.1790, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.7921, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.3076, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(23.7077, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(10.9581, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.2779, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(2.1890, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.6348, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.5648, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.5075, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(0.9797, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.3295, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(5.8363, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.1172, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.5436, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.5138, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.7975, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.1235, device='cuda:0')
step 10 | loss 10.6952 | norm 2.8227 | time 1175.8037ms
decoder_stack.0.attn.wq.weight tensor(16.6680, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(2.7867, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(24.9498, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.6451, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.3423, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.6204, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.7411, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(10.9684, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(5.9371, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(48.0198, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(2.2698, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.5599, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.3998, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(13.2200, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(6.9421, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.4974, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(12.1636, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.7362, device='cuda:0')
